,order_id,order_datetime,customer_id,country,order_revenue,item_count,unique_products,order_number
906,491725,2009-12-14 08:34:00,12346.0,United Kingdom,45.0,10,1,1
917,491742,2009-12-14 11:00:00,12346.0,United Kingdom,22.5,5,1,2
919,491744,2009-12-14 11:02:00,12346.0,United Kingdom,22.5,5,1,3
1234,492718,2009-12-18 10:47:00,12346.0,United Kingdom,22.5,5,1,4
1236,492722,2009-12-18 10:55:00,12346.0,United Kingdom,1.0,1,1,5
1373,493410,2010-01-04 09:24:00,12346.0,United Kingdom,22.5,5,1,6
1374,493412,2010-01-04 09:53:00,12346.0,United Kingdom,22.5,5,1,7
1640,494450,2010-01-14 13:50:00,12346.0,United Kingdom,22.5,5,1,8
1918,495295,2010-01-22 13:30:00,12346.0,United Kingdom,22.5,5,1,9
3323,499763,2010-03-02 13:08:00,12346.0,United Kingdom,27.05,5,5,10
8223,513774,2010-06-28 13:53:00,12346.0,United Kingdom,142.31,19,19,11
14154,529924,2010-10-31 14:20:00,12347.0,Iceland,573.28,506,39,1
17017,537626,2010-12-07 14:57:00,12347.0,Iceland,650.89,253,29,2
11956,524140,2010-09-27 14:59:00,12348.0,Finland,222.16,373,20,1
5730,506394,2010-04-29 13:20:00,12349.0,Italy,794.52,457,40,1
13990,529344,2010-10-28 08:23:00,12349.0,Italy,841.37,441,40,2
16400,536012,2010-11-29 15:23:00,12351.0,Unspecified,288.18,260,20,1
15014,532430,2010-11-12 10:20:00,12352.0,Norway,143.75,77,6,1
16339,535838,2010-11-29 10:07:00,12352.0,Norway,187.3,110,11,2
13955,529304,2010-10-27 12:44:00,12353.0,Bahrain,317.76,192,20,1
6637,509300,2010-05-21 11:59:00,12355.0,Bahrain,437.11,253,20,1
12814,526245,2010-10-11 09:42:00,12356.0,Portugal,493.02,383,27,1
14957,532305,2010-11-11 14:23:00,12356.0,Portugal,206.4,48,3,2
15962,534804,2010-11-24 12:24:00,12356.0,Portugal,155.4,191,19,3
