,customer_id,first_order_date,total_orders,total_revenue
0,12346.0,2009-12-14 08:34:00,11,372.86
1,12347.0,2010-10-31 14:20:00,2,1323.32
2,12348.0,2010-09-27 14:59:00,1,222.16
3,12349.0,2010-04-29 13:20:00,3,2671.14
4,12351.0,2010-11-29 15:23:00,1,300.93
5,12352.0,2010-11-12 10:20:00,2,343.8
6,12353.0,2010-10-27 12:44:00,1,317.76
7,12355.0,2010-05-21 11:59:00,1,488.21000000000004
8,12356.0,2010-10-11 09:42:00,3,3562.25
9,12357.0,2010-11-16 10:05:00,2,12079.99
10,12358.0,2009-12-08 07:59:00,3,2719.01
11,12359.0,2009-12-05 13:32:00,6,2563.36
12,12360.0,2010-02-22 09:32:00,5,1590.83
13,12361.0,2010-01-26 14:37:00,3,321.35
14,12362.0,2009-12-01 10:10:00,1,130.0
15,12366.0,2010-03-16 10:28:00,1,500.24
16,12368.0,2010-03-21 15:56:00,1,917.6999999999999
17,12369.0,2010-03-08 08:09:00,3,1791.1499999999999
18,12370.0,2010-02-09 09:41:00,3,774.62
19,12371.0,2010-03-04 18:23:00,3,2179.42
20,12373.0,2010-02-04 12:08:00,2,763.0500000000001
21,12374.0,2010-04-30 14:01:00,3,2246.29
22,12376.0,2010-10-18 08:42:00,2,503.15
23,12377.0,2010-04-29 15:34:00,2,1798.2
24,12378.0,2010-05-26 14:07:00,1,1407.7
25,12379.0,2010-06-23 12:49:00,2,767.98
26,12380.0,2010-02-15 12:05:00,7,6951.49
27,12385.0,2010-11-25 15:14:00,1,1938.4
28,12386.0,2010-12-08 09:53:00,1,258.9
29,12387.0,2010-10-20 16:27:00,1,143.94
30,12388.0,2010-05-06 12:54:00,2,1120.45
31,12389.0,2010-02-22 10:15:00,3,1433.33
32,12391.0,2010-02-15 10:12:00,5,2312.5299999999997
33,12392.0,2010-04-27 14:04:00,1,234.75000000000003
34,12393.0,2010-10-07 13:49:00,2,816.8499999999999
35,12395.0,2010-04-16 10:16:00,4,2048.6400000000003
36,12396.0,2010-02-03 13:22:00,1,931.43
37,12399.0,2010-03-05 08:45:00,3,853.6500000000001
38,12400.0,2010-10-21 13:45:00,1,205.25
39,12402.0,2010-02-07 12:41:00,5,1031.3
40,12403.0,2010-07-06 11:39:00,1,591.6600000000001
41,12404.0,2010-01-26 16:25:00,1,63.24
42,12406.0,2010-01-11 14:04:00,3,2975.0600000000004
43,12408.0,2010-07-29 13:27:00,3,1452.2199999999998
44,12409.0,2010-05-23 15:21:00,4,12346.619999999999
45,12410.0,2010-07-25 13:26:00,1,320.38
46,12411.0,2010-10-26 09:25:00,1,346.9
47,12412.0,2010-06-18 13:22:00,3,1370.05
48,12413.0,2010-11-02 13:26:00,1,241.35
49,12414.0,2010-09-02 12:22:00,3,390.0
50,12415.0,2010-06-30 08:30:00,7,19543.84
51,12416.0,2010-02-21 10:19:00,1,202.56
52,12417.0,2009-12-06 10:30:00,11,3167.81
53,12418.0,2010-03-19 14:47:00,3,1352.6200000000001
