,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Date,Time,line_revenue
22,489436,22194,BLACK DINER WALL CLOCK,2,2009-12-01 09:06:00,8.5,13078.0,United Kingdom,2009-12-01,09:06:00,17.0
35,489437,21360,JOY LARGE WOOD LETTERS,1,2009-12-01 09:08:00,9.95,15362.0,United Kingdom,2009-12-01,09:08:00,9.95
38,489437,35400,WOODEN BOX ADVENT CALENDAR ,2,2009-12-01 09:08:00,8.95,15362.0,United Kingdom,2009-12-01,09:08:00,17.9
88,489439,20749,ASSORTED COLOUR MINI CASES,2,2009-12-01 09:28:00,7.95,12682.0,France,2009-12-01,09:28:00,15.9
89,489439,POST,POSTAGE,3,2009-12-01 09:28:00,18.0,12682.0,France,2009-12-01,09:28:00,54.0
126,489444,POST,POSTAGE,1,2009-12-01 09:55:00,141.0,12636.0,USA,2009-12-01,09:55:00,141.0
131,489445,22180,RETRO SPOT LAMP,2,2009-12-01 09:57:00,9.95,17519.0,United Kingdom,2009-12-01,09:57:00,19.9
140,489445,21299,EDWARDIAN TOILET ROLL UNIT ,1,2009-12-01 09:57:00,12.75,17519.0,United Kingdom,2009-12-01,09:57:00,12.75
170,489446,21217,RED SPOTTY ROUND CAKE TINS,12,2009-12-01 10:06:00,8.95,13758.0,United Kingdom,2009-12-01,10:06:00,107.39999999999999
172,489446,85066,CREAM SWEETHEART MINI CHEST,2,2009-12-01 10:06:00,12.75,13758.0,United Kingdom,2009-12-01,10:06:00,25.5
173,489447,POST,POSTAGE,1,2009-12-01 10:10:00,130.0,12362.0,Belgium,2009-12-01,10:10:00,130.0
242,489461,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,2009-12-01 10:49:00,7.95,17865.0,United Kingdom,2009-12-01,10:49:00,15.9
248,489461,22180,RETRO SPOT LAMP,2,2009-12-01 10:49:00,9.95,17865.0,United Kingdom,2009-12-01,10:49:00,19.9
269,489465,20747,PICCADILLY TEA SET,4,2009-12-01 10:52:00,14.95,13767.0,United Kingdom,2009-12-01,10:52:00,59.8
281,489465,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,4,2009-12-01 10:52:00,9.95,13767.0,United Kingdom,2009-12-01,10:52:00,39.8
312,489488,90175A,WHITE GLASS CHUNKY CHARM BRACELET,2,2009-12-01 10:59:00,8.95,17238.0,United Kingdom,2009-12-01,10:59:00,17.9
313,489488,90195B,BLACK GEMSTONE BRACELET,2,2009-12-01 10:59:00,8.95,17238.0,United Kingdom,2009-12-01,10:59:00,17.9
314,489488,90062,CARNIVAL BRACELET,2,2009-12-01 10:59:00,12.75,17238.0,United Kingdom,2009-12-01,10:59:00,25.5
326,489505,22275,WEEKEND BAG VINTAGE ROSE PAISLEY,4,2009-12-01 11:17:00,8.5,15712.0,United Kingdom,2009-12-01,11:17:00,34.0
333,489514,37449,CERAMIC CAKE STAND + HANGING CAKES,8,2009-12-01 11:21:00,8.5,15311.0,United Kingdom,2009-12-01,11:21:00,68.0
336,489514,21258,VICTORIAN SEWING BOX LARGE,8,2009-12-01 11:21:00,10.95,15311.0,United Kingdom,2009-12-01,11:21:00,87.6
356,489514,44230,SQUARE MIRROR CURTAIN,1,2009-12-01 11:21:00,7.95,15311.0,United Kingdom,2009-12-01,11:21:00,7.95
435,489519,90024B,NEW BAROQUE B'FLY NECKLACE RED,2,2009-12-01 11:37:00,8.5,17700.0,United Kingdom,2009-12-01,11:37:00,17.0
436,489519,90036D,"FLOWER GLASS GARLAND NECKL.36""BLACK",3,2009-12-01 11:37:00,7.95,17700.0,United Kingdom,2009-12-01,11:37:00,23.85
453,489520,21784,SHOE SHINE BOX ,4,2009-12-01 11:41:00,9.95,14911.0,EIRE,2009-12-01,11:41:00,39.8
457,489520,22282,12 EGG HOUSE PAINTED WOOD,4,2009-12-01 11:41:00,12.75,14911.0,EIRE,2009-12-01,11:41:00,51.0
472,489522,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,1,2009-12-01 11:45:00,9.95,15998.0,United Kingdom,2009-12-01,11:45:00,9.95
496,489522,35400,WOODEN BOX ADVENT CALENDAR ,2,2009-12-01 11:45:00,8.95,15998.0,United Kingdom,2009-12-01,11:45:00,17.9
595,489526,21527,RETRO SPOT TRADITIONAL TEAPOT ,2,2009-12-01 11:50:00,7.95,12533.0,Germany,2009-12-01,11:50:00,15.9
598,489526,22180,RETRO SPOT LAMP,3,2009-12-01 11:50:00,9.95,12533.0,Germany,2009-12-01,11:50:00,29.849999999999998
604,489526,21217,RED SPOTTY ROUND CAKE TINS,3,2009-12-01 11:50:00,9.95,12533.0,Germany,2009-12-01,11:50:00,29.849999999999998
625,489526,POST,POSTAGE,6,2009-12-01 11:50:00,18.0,12533.0,Germany,2009-12-01,11:50:00,108.0
627,489529,85063,CREAM SWEETHEART MAGAZINE RACK,1,2009-12-01 11:51:00,16.95,17984.0,United Kingdom,2009-12-01,11:51:00,16.95
674,489529,20748,KENSINGTON COFFEE SET,1,2009-12-01 11:51:00,12.75,17984.0,United Kingdom,2009-12-01,11:51:00,12.75
686,489531,82486,WOOD S/3 CABINET ANT WHITE FINISH,1,2009-12-01 11:57:00,7.95,14871.0,United Kingdom,2009-12-01,11:57:00,7.95
709,489532,20892,SET/3 TALL GLASS CANDLE HOLDER PINK,2,2009-12-01 11:58:00,12.75,13394.0,United Kingdom,2009-12-01,11:58:00,25.5
