,order_id,order_datetime,customer_id,country,order_revenue,item_count,unique_products,order_number
1006,491725,2009-12-14 08:34:00,12346.0,United Kingdom,45.0,10,1,1
1017,491742,2009-12-14 11:00:00,12346.0,United Kingdom,22.5,5,1,2
1019,491744,2009-12-14 11:02:00,12346.0,United Kingdom,22.5,5,1,3
1361,492718,2009-12-18 10:47:00,12346.0,United Kingdom,22.5,5,1,4
1363,492722,2009-12-18 10:55:00,12346.0,United Kingdom,1.0,1,1,5
1512,493410,2010-01-04 09:24:00,12346.0,United Kingdom,22.5,5,1,6
1513,493412,2010-01-04 09:53:00,12346.0,United Kingdom,22.5,5,1,7
1833,494450,2010-01-14 13:50:00,12346.0,United Kingdom,22.5,5,1,8
2133,495295,2010-01-22 13:30:00,12346.0,United Kingdom,22.5,5,1,9
3707,499763,2010-03-02 13:08:00,12346.0,United Kingdom,27.05,5,5,10
9189,513774,2010-06-28 13:53:00,12346.0,United Kingdom,142.31,19,19,11
15826,529924,2010-10-31 14:20:00,12347.0,Iceland,611.53,509,40,1
18987,537626,2010-12-07 14:57:00,12347.0,Iceland,711.79,319,31,2
13403,524140,2010-09-27 14:59:00,12348.0,Finland,222.16,373,20,1
6401,506394,2010-04-29 13:20:00,12349.0,Italy,1068.52,473,46,1
7227,508728,2010-05-18 09:57:00,12349.0,Italy,200.0,1,1,2
15642,529344,2010-10-28 08:23:00,12349.0,Italy,1402.62,519,55,3
18299,536012,2010-11-29 15:23:00,12351.0,Unspecified,300.93,261,21,1
16794,532430,2010-11-12 10:20:00,12352.0,Norway,143.75,77,6,1
18233,535838,2010-11-29 10:07:00,12352.0,Norway,200.05,111,12,2
15606,529304,2010-10-27 12:44:00,12353.0,Bahrain,317.76,192,20,1
7431,509300,2010-05-21 11:59:00,12355.0,Bahrain,488.21000000000004,303,22,1
14361,526245,2010-10-11 09:42:00,12356.0,Portugal,910.44,840,37,1
16731,532305,2010-11-11 14:23:00,12356.0,Portugal,2301.96,730,20,2
17835,534804,2010-11-24 12:24:00,12356.0,Portugal,349.85,256,25,3
17079,533088,2010-11-16 10:05:00,12357.0,Switzerland,11229.99,3878,164,1
17129,533162,2010-11-16 14:29:00,12357.0,Switzerland,850.0,1,1,2
608,490751,2009-12-08 07:59:00,12358.0,Austria,1429.83,309,17,1
8143,511229,2010-06-07 12:28:00,12358.0,Austria,268.1,281,17,2
18241,535879,2010-11-29 10:56:00,12358.0,Austria,1021.08,241,23,3
428,490382,2009-12-05 13:32:00,12359.0,Cyprus,760.69,397,32,1
1249,492397,2009-12-16 15:24:00,12359.0,Cyprus,78.2,212,2,2
3992,500379,2010-03-08 10:15:00,12359.0,Cyprus,337.74,104,19,3
4640,502098,2010-03-23 08:55:00,12359.0,Cyprus,345.6,64,13,4
8910,513123,2010-06-22 10:24:00,12359.0,Cyprus,489.8,100,20,5
14293,526174,2010-10-10 11:16:00,12359.0,Cyprus,551.33,253,31,6
3332,498613,2010-02-22 09:32:00,12360.0,Austria,118.00000000000001,100,10,1
4722,502331,2010-03-24 10:39:00,12360.0,Austria,40.0,1,1,2
7579,509627,2010-05-25 09:55:00,12360.0,Austria,622.04,655,34,3
16804,532443,2010-11-12 11:31:00,12360.0,Austria,690.79,535,42,4
17934,535105,2010-11-25 11:04:00,12360.0,Austria,120.0,3,1,5
2283,495719,2010-01-26 14:37:00,12361.0,Belgium,109.19999999999999,45,7,1
6828,507426,2010-05-09 15:33:00,12361.0,Belgium,98.15,38,6,2
12202,521354,2010-09-03 15:19:00,12361.0,Belgium,114.0,61,6,3
13,489447,2009-12-01 10:10:00,12362.0,Belgium,130.0,1,1,1
4316,501333,2010-03-16 10:28:00,12366.0,Cyprus,500.24,296,3,1
4584,501904,2010-03-21 15:56:00,12368.0,Cyprus,917.6999999999999,330,18,1
3980,500367,2010-03-08 08:09:00,12369.0,Austria,348.32,209,9,1
12778,522773,2010-09-16 14:34:00,12369.0,Austria,1259.48,946,75,2
15294,528576,2010-10-22 13:13:00,12369.0,Austria,183.35,86,9,3
2845,497363,2010-02-09 09:41:00,12370.0,Austria,562.96,172,25,1
4776,502493,2010-03-25 10:28:00,12370.0,Austria,141.06,59,7,2
4793,502568,2010-03-25 12:10:00,12370.0,Austria,70.6,21,3,3
3867,500157,2010-03-04 18:23:00,12371.0,Switzerland,320.88,171,17,1
3868,500158,2010-03-04 18:25:00,12371.0,Switzerland,286.8,81,17,2
15520,529091,2010-10-26 13:37:00,12371.0,Switzerland,1571.74,593,70,3
2676,496864,2010-02-04 12:08:00,12373.0,Austria,437.90000000000003,208,21,1
4813,502607,2010-03-25 13:49:00,12373.0,Austria,325.15000000000003,111,16,2
6472,506579,2010-04-30 14:01:00,12374.0,Austria,1388.54,798,36,1
14633,526941,2010-10-14 10:16:00,12374.0,Austria,657.75,217,13,2
14666,527058,2010-10-14 13:31:00,12374.0,Austria,200.0,5,1,3
14889,527439,2010-10-18 08:42:00,12376.0,Switzerland,432.55,203,11,1
16990,532952,2010-11-15 12:15:00,12376.0,Switzerland,70.6,37,2,2
6418,506435,2010-04-29 15:34:00,12377.0,Switzerland,1210.96,835,47,1
17793,534738,2010-11-23 19:24:00,12377.0,Switzerland,587.24,326,28,2
7678,509980,2010-05-26 14:07:00,12378.0,Switzerland,1407.7,787,82,1
8971,513275,2010-06-23 12:49:00,12379.0,Belgium,367.48,163,18,1
14602,526893,2010-10-13 14:46:00,12379.0,Belgium,400.5,245,23,2
3065,497947,2010-02-15 12:05:00,12380.0,Belgium,1508.65,616,51,1
3069,497952,2010-02-15 12:31:00,12380.0,Belgium,1508.65,1,1,2
3771,499959,2010-03-03 12:53:00,12380.0,Belgium,200.0,1,1,3
9271,513964,2010-06-29 15:17:00,12380.0,Belgium,1765.95,815,50,4
9272,513965,2010-06-29 15:28:00,12380.0,Belgium,686.4,188,24,5
9273,513967,2010-06-29 15:34:00,12380.0,Belgium,145.0,1,1,6
12011,520872,2010-08-31 14:54:00,12380.0,Belgium,1136.84,606,45,7
18012,535321,2010-11-25 15:14:00,12385.0,Belgium,1938.4,612,65,1
19014,537676,2010-12-08 09:53:00,12386.0,Australia,258.9,214,8,1
15151,528152,2010-10-20 16:27:00,12387.0,Australia,143.94,134,9,1
6671,507148,2010-05-06 12:54:00,12388.0,Australia,461.62,266,26,1
12927,523115,2010-09-20 12:41:00,12388.0,Australia,658.83,273,20,2
3336,498617,2010-02-22 10:15:00,12389.0,Australia,164.85,67,6,1
7446,509378,2010-05-21 15:12:00,12389.0,Australia,398.18,185,20,2
