,order_id,order_datetime,customer_id,country,order_revenue,item_count,unique_products,order_number
9491,529924,2010-10-31 14:20:00,12347.0,Iceland,38.25,3,1,1
3654,506394,2010-04-29 13:20:00,12349.0,Italy,274.0,16,6,1
4162,508728,2010-05-18 09:57:00,12349.0,Italy,200.0,1,1,2
9375,529344,2010-10-28 08:23:00,12349.0,Italy,520.45,30,14,3
11083,536012,2010-11-29 15:23:00,12351.0,Unspecified,12.75,1,1,1
11044,535838,2010-11-29 10:07:00,12352.0,Norway,12.75,1,1,1
4288,509300,2010-05-21 11:59:00,12355.0,Bahrain,19.9,2,1,1
8541,526245,2010-10-11 09:42:00,12356.0,Portugal,154.6,8,2,1
10084,532305,2010-11-11 14:23:00,12356.0,Portugal,1161.58,112,6,2
10785,534804,2010-11-24 12:24:00,12356.0,Portugal,173.45,15,5,3
10311,533088,2010-11-16 10:05:00,12357.0,Switzerland,795.95,85,14,1
10341,533162,2010-11-16 14:29:00,12357.0,Switzerland,850.0,1,1,2
323,490751,2009-12-08 07:59:00,12358.0,Austria,78.3,8,4,1
11049,535879,2010-11-29 10:56:00,12358.0,Austria,287.5,15,5,2
225,490382,2009-12-05 13:32:00,12359.0,Cyprus,270.25,19,6,1
2188,500379,2010-03-08 10:15:00,12359.0,Cyprus,21.9,2,1,2
2566,502098,2010-03-23 08:55:00,12359.0,Cyprus,153.0,12,2,3
5263,513123,2010-06-22 10:24:00,12359.0,Cyprus,194.4,18,6,4
8501,526174,2010-10-10 11:16:00,12359.0,Cyprus,85.05,7,3,5
2616,502331,2010-03-24 10:39:00,12360.0,Austria,40.0,1,1,1
4391,509627,2010-05-25 09:55:00,12360.0,Austria,120.0,3,1,2
10842,535105,2010-11-25 11:04:00,12360.0,Austria,120.0,3,1,3
1240,495719,2010-01-26 14:37:00,12361.0,Belgium,15.0,1,1,1
3920,507426,2010-05-09 15:33:00,12361.0,Belgium,15.0,1,1,2
7240,521354,2010-09-03 15:19:00,12361.0,Belgium,15.0,1,1,3
6,489447,2009-12-01 10:10:00,12362.0,Belgium,130.0,1,1,1
2534,501904,2010-03-21 15:56:00,12368.0,Cyprus,356.7,34,4,1
2182,500367,2010-03-08 08:09:00,12369.0,Austria,40.0,1,1,1
7608,522773,2010-09-16 14:34:00,12369.0,Austria,251.70000000000002,11,4,2
9133,528576,2010-10-22 13:13:00,12369.0,Austria,40.0,1,1,3
1557,497363,2010-02-09 09:41:00,12370.0,Austria,219.7,10,4,1
2647,502493,2010-03-25 10:28:00,12370.0,Austria,40.0,1,1,2
2657,502568,2010-03-25 12:10:00,12370.0,Austria,40.0,1,1,3
2124,500157,2010-03-04 18:23:00,12371.0,Switzerland,80.0,2,1,1
2125,500158,2010-03-04 18:25:00,12371.0,Switzerland,40.0,1,1,2
9300,529091,2010-10-26 13:37:00,12371.0,Switzerland,271.8,10,3,3
1462,496864,2010-02-04 12:08:00,12373.0,Austria,117.2,6,3,1
2673,502607,2010-03-25 13:49:00,12373.0,Austria,111.8,6,2,2
8698,526941,2010-10-14 10:16:00,12374.0,Austria,107.39999999999999,12,1,1
8723,527058,2010-10-14 13:31:00,12374.0,Austria,200.0,5,1,2
8865,527439,2010-10-18 08:42:00,12376.0,Switzerland,80.0,2,1,1
10247,532952,2010-11-15 12:15:00,12376.0,Switzerland,40.0,1,1,2
10759,534738,2010-11-23 19:24:00,12377.0,Switzerland,147.8,6,2,1
4449,509980,2010-05-26 14:07:00,12378.0,Switzerland,273.65,21,13,1
5298,513275,2010-06-23 12:49:00,12379.0,Belgium,64.9,5,2,1
8681,526893,2010-10-13 14:46:00,12379.0,Belgium,30.0,2,1,2
1679,497947,2010-02-15 12:05:00,12380.0,Belgium,141.39999999999998,16,3,1
1681,497952,2010-02-15 12:31:00,12380.0,Belgium,1508.65,1,1,2
2067,499959,2010-03-03 12:53:00,12380.0,Belgium,200.0,1,1,3
5492,513964,2010-06-29 15:17:00,12380.0,Belgium,327.5,30,3,4
5493,513965,2010-06-29 15:28:00,12380.0,Belgium,359.4,16,3,5
5494,513967,2010-06-29 15:34:00,12380.0,Belgium,145.0,1,1,6
7129,520872,2010-08-31 14:54:00,12380.0,Belgium,114.80000000000001,9,3,7
10893,535321,2010-11-25 15:14:00,12385.0,Belgium,534.3,42,6,1
9035,528152,2010-10-20 16:27:00,12387.0,Australia,33.9,2,1,1
4299,509378,2010-05-21 15:12:00,12389.0,Australia,19.9,2,1,1
1676,497932,2010-02-15 10:12:00,12391.0,Cyprus,168.6,10,7,1
3370,505236,2010-04-21 10:58:00,12391.0,Cyprus,365.65,21,8,2
7155,520972,2010-09-01 12:38:00,12391.0,Cyprus,115.94999999999999,12,10,3
3577,506115,2010-04-27 14:04:00,12392.0,Australia,37.8,4,2,1
10680,534450,2010-11-22 16:10:00,12393.0,Australia,33.65,3,3,1
3221,504714,2010-04-16 10:16:00,12395.0,Belgium,149.8,10,2,1
6422,517823,2010-08-02 12:37:00,12395.0,Belgium,33.9,3,2,2
9439,529690,2010-10-29 12:44:00,12395.0,Belgium,55.9,4,2,3
11339,537026,2010-12-03 16:35:00,12395.0,Belgium,55.9,4,2,4
1442,496703,2010-02-03 13:22:00,12396.0,RSA,47.849999999999994,5,3,1
2129,500163,2010-03-05 08:45:00,12399.0,Belgium,15.0,1,1,1
5754,515020,2010-07-08 09:13:00,12399.0,Belgium,15.0,1,1,2
10503,533815,2010-11-19 08:53:00,12399.0,Belgium,15.0,1,1,3
1518,497210,2010-02-07 12:41:00,12402.0,Belgium,15.0,1,1,1
3257,504860,2010-04-18 12:04:00,12402.0,Belgium,27.75,2,2,2
5702,514814,2010-07-06 12:15:00,12402.0,Belgium,30.0,2,1,3
7567,522597,2010-09-15 13:24:00,12402.0,Belgium,15.0,1,1,4
10123,532423,2010-11-12 09:50:00,12402.0,Belgium,15.0,1,1,5
5698,514808,2010-07-06 11:39:00,12403.0,Denmark,36.0,2,1,1
1249,495742,2010-01-26 16:25:00,12404.0,Finland,63.24,1,1,1
915,494143,2010-01-11 14:04:00,12406.0,Denmark,71.6,8,1,1
9748,531010,2010-11-05 11:42:00,12406.0,Denmark,183.60000000000002,24,1,2
6342,517512,2010-07-29 13:27:00,12408.0,Belgium,15.0,1,1,1
7564,522592,2010-09-15 13:16:00,12408.0,Belgium,30.0,2,1,2
10542,533972,2010-11-19 13:21:00,12408.0,Belgium,276.8,14,3,3
4338,509437,2010-05-23 15:21:00,12409.0,Switzerland,765.68,64,8,1
5628,514490,2010-07-02 15:10:00,12409.0,Switzerland,101.88,12,1,2
8768,527145,2010-10-15 10:24:00,12409.0,Switzerland,486.5,38,4,3
6204,516935,2010-07-25 13:26:00,12410.0,Switzerland,97.0,4,2,1
9273,528959,2010-10-26 09:25:00,12411.0,Australia,91.5,10,3,1
5199,512902,2010-06-18 13:22:00,12412.0,Denmark,53.0,4,2,1
6599,518508,2010-08-09 14:26:00,12412.0,Denmark,54.0,3,1,2
9592,530383,2010-11-02 17:02:00,12412.0,Denmark,18.0,1,1,3
9572,530310,2010-11-02 13:26:00,12413.0,Spain,134.39999999999998,10,7,1
7184,521126,2010-09-02 12:22:00,12414.0,Austria,40.0,1,1,1
7189,521154,2010-09-02 13:42:00,12414.0,Austria,130.0,1,1,2
7191,521157,2010-09-02 13:47:00,12414.0,Austria,130.0,1,1,3
5499,513987,2010-06-30 08:30:00,12415.0,Australia,337.85,35,6,1
6369,517631,2010-07-30 12:38:00,12415.0,Australia,55.0,1,1,2
9042,528168,2010-10-21 09:49:00,12415.0,Australia,10.0,1,1,3
9669,530669,2010-11-04 10:57:00,12415.0,Australia,10.0,1,1,4
11082,536009,2010-11-29 15:07:00,12415.0,Australia,3222.8,312,12,5
233,490397,2009-12-06 10:30:00,12417.0,Belgium,62.849999999999994,5,3,1
864,493899,2010-01-08 10:43:00,12417.0,Belgium,145.75,12,7,2
2142,500237,2010-03-05 11:56:00,12417.0,Belgium,155.05,13,7,3
2891,503438,2010-04-01 10:05:00,12417.0,Belgium,31.95,2,2,4
5154,512723,2010-06-17 13:06:00,12417.0,Belgium,290.75,25,12,5
6104,516566,2010-07-21 12:31:00,12417.0,Belgium,18.0,1,1,6
7719,523163,2010-09-20 15:31:00,12417.0,Belgium,108.3,10,5,7
8149,524862,2010-10-01 08:39:00,12417.0,Spain,61.96,5,2,8
8799,527288,2010-10-15 13:57:00,12417.0,Belgium,188.35,14,7,9
9261,528920,2010-10-25 14:27:00,12417.0,Belgium,179.64999999999998,16,8,10
2495,501813,2010-03-19 14:47:00,12418.0,Switzerland,9.95,1,1,1
4020,508053,2010-05-12 13:11:00,12418.0,Switzerland,51.7,6,2,2
9111,528435,2010-10-22 10:29:00,12418.0,Switzerland,39.8,4,2,3
9113,528438,2010-10-22 10:40:00,12419.0,Spain,84.0,3,1,1
10512,533826,2010-11-19 10:04:00,12419.0,Spain,144.7,11,4,2
6137,516735,2010-07-22 13:57:00,12421.0,Spain,28.0,1,1,1
9022,528117,2010-10-20 14:28:00,12421.0,Spain,60.85,4,3,2
3810,507060,2010-05-06 10:08:00,12422.0,Australia,662.25,1,1,1
3811,507061,2010-05-06 10:09:00,12422.0,Australia,396.2,1,1,2
4398,509644,2010-05-25 11:28:00,12422.0,Switzerland,80.0,2,1,3
5604,514371,2010-07-02 09:27:00,12422.0,Switzerland,37.9,3,2,4
5625,514484,2010-07-02 14:39:00,12422.0,Switzerland,36.0,2,1,5
5626,514486,2010-07-02 14:41:00,12422.0,Switzerland,40.0,1,1,6
7574,522611,2010-09-15 14:29:00,12422.0,Switzerland,131.0,8,3,7
9436,529629,2010-10-29 12:15:00,12422.0,Switzerland,99.9,4,2,8
10006,532026,2010-11-10 13:19:00,12422.0,Switzerland,183.75,11,5,9
7112,520737,2010-08-31 09:31:00,12423.0,Denmark,36.0,2,1,1
10382,533444,2010-11-17 11:33:00,12423.0,Belgium,60.0,4,1,2
4860,511680,2010-06-09 15:15:00,12424.0,Australia,91.80000000000001,12,1,1
8650,526756,2010-10-13 10:29:00,12424.0,Australia,19.9,2,1,2
7642,522917,2010-09-17 14:10:00,12425.0,Portugal,15.9,2,1,1
1673,497926,2010-02-15 08:41:00,12426.0,Germany,103.8,8,3,1
11308,536861,2010-12-03 10:44:00,12427.0,Germany,183.2,19,3,1
4941,511962,2010-06-11 13:28:00,12429.0,Denmark,153.0,14,2,1
11581,538003,2010-12-09 12:05:00,12429.0,Denmark,463.1,42,4,2
990,494511,2010-01-15 09:04:00,12431.0,Belgium,201.35,19,5,1
992,494513,2010-01-15 09:37:00,12431.0,Belgium,45.0,3,1,2
2085,500008,2010-03-04 09:51:00,12431.0,Australia,51.0,6,1,3
5700,514810,2010-07-06 11:56:00,12431.0,Australia,25.5,2,1,4
6045,516307,2010-07-19 13:55:00,12431.0,Belgium,35.8,4,2,5
6046,516308,2010-07-19 14:06:00,12431.0,Belgium,90.0,6,1,6
9291,529057,2010-10-26 12:00:00,12431.0,Australia,65.8,8,3,7
11171,536389,2010-12-01 10:03:00,12431.0,Australia,102.0,12,4,8
9733,530966,2010-11-05 08:27:00,12433.0,Norway,202.39999999999998,18,7,1
11202,536532,2010-12-01 13:24:00,12433.0,Norway,15.9,2,1,2
11556,537868,2010-12-08 16:49:00,12433.0,Norway,82.8,10,5,3
10724,534659,2010-11-23 13:38:00,12434.0,Australia,57.65,7,4,1
2313,501119,2010-03-12 14:50:00,12435.0,Denmark,183.60000000000002,24,2,1
6850,519722,2010-08-19 16:53:00,12435.0,Denmark,490.20000000000005,60,3,2
9847,531395,2010-11-08 10:07:00,12435.0,Denmark,606.4000000000001,64,4,3
113,489883,2009-12-02 16:24:00,12437.0,France,117.6,11,3,1
1082,494897,2010-01-19 14:16:00,12437.0,France,63.6,8,2,2
1083,494899,2010-01-19 14:37:00,12437.0,France,72.0,4,1,3
1556,497360,2010-02-09 09:17:00,12437.0,France,234.0,13,1,4
2135,500176,2010-03-05 10:35:00,12437.0,France,101.7,9,3,5
2640,502467,2010-03-24 15:24:00,12437.0,France,36.0,2,1,6
3152,504477,2010-04-14 10:08:00,12437.0,France,67.8,6,3,7
4600,510651,2010-06-02 13:34:00,12437.0,France,18.0,1,1,8
5312,513334,2010-06-24 09:29:00,12437.0,France,117.6,11,3,9
6478,518007,2010-08-04 09:14:00,12437.0,France,15.0,1,1,10
7248,521373,2010-09-05 11:47:00,12437.0,France,18.0,1,1,11
7306,521569,2010-09-07 11:40:00,12437.0,France,51.9,4,2,12
7594,522712,2010-09-16 11:43:00,12437.0,France,18.0,1,1,13
7692,523022,2010-09-20 11:42:00,12437.0,France,45.95,3,2,14
8295,525298,2010-10-05 09:32:00,12437.0,France,142.1,11,4,15
8669,526864,2010-10-13 13:09:00,12437.0,France,36.0,2,1,16
8781,527255,2010-10-15 12:35:00,12437.0,France,69.9,5,2,17
9823,531357,2010-11-07 14:04:00,12437.0,France,91.69999999999999,8,4,18
9943,531778,2010-11-09 14:45:00,12437.0,France,94.5,7,2,19
9944,531779,2010-11-09 14:46:00,12437.0,France,18.0,1,1,20
534,491726,2009-12-14 08:40:00,12439.0,Cyprus,94.6,10,7,1
784,493183,2009-12-22 12:03:00,12440.0,Austria,115.8,6,3,1
7234,521341,2010-09-03 13:11:00,12440.0,Austria,123.5,11,3,2
11505,537693,2010-12-08 10:45:00,12441.0,France,18.0,1,1,1
314,490718,2009-12-07 15:42:00,12443.0,Norway,252.45,16,6,1
9244,528884,2010-10-25 12:21:00,12449.0,Denmark,90.0,5,1,1
9779,531221,2010-11-05 16:27:00,12450.0,Spain,42.5,4,2,1
5437,513762,2010-06-28 12:58:00,12451.0,Switzerland,115.6,8,3,1
